-41,39,2,60,16,26,-26,0,53,7
-34,38,4,61,16,28,-17,8,54,7
-44,38,5,64,17,17,-17,3,58,7
-55,37,9,55,20,14,-20,1,51,7
-43,38,11,59,21,16,-18,2,47,7
-34,37,12,58,22,10,-18,0,46,7
-32,38,12,62,17,14,-15,0,41,7
-33,38,11,61,16,12,-13,1,41,7
-28,36,8,57,17,10,-15,1,41,7
-27,38,6,44,21,5,-17,3,41,7
-25,40,3,42,25,2,-14,3,39,7
-19,40,5,48,23,3,-17,5,37,7
-23,41,7,49,21,-1,-15,6,38,7
-24,42,7,47,23,-7,-17,3,40,7
-20,41,8,48,25,-11,-20,3,38,7
-16,41,7,44,22,-17,-21,6,37,7
-14,41,10,39,21,-21,-19,7,37,7
-16,41,10,46,17,-30,-16,3,37,7
-13,42,8,55,10,-34,-18,3,36,7
-16,45,8,52,4,-36,-19,8,38,7
-19,46,8,47,5,-39,-17,7,37,7
-18,45,7,53,-3,-44,-17,8,37,7
-17,46,8,49,-11,-42,-16,7,39,7
-16,50,10,47,-8,-42,-16,9,38,7
-14,47,8,55,-8,-47,-17,8,38,7
-17,43,8,50,-18,-46,-18,9,37,7
-18,48,8,42,-14,-46,-19,10,38,7
-12,49,5,45,-20,-48,-22,14,38,7
-9,46,6,43,-25,-44,-19,14,37,7
-7,44,10,45,-26,-42,-17,13,37,7
1,52,12,48,-29,-41,-17,16,37,7
1,46,14,42,-30,-36,-17,15,38,7
7,46,16,40,-29,-32,-17,14,37,7
13,49,18,44,-28,-26,-13,19,37,7
6,47,19,45,-29,-23,-12,15,38,7
-5,45,12,50,-28,-20,-12,14,36,7
-7,45,8,50,-25,-17,-12,13,37,7
-14,45,1,50,-19,-10,-10,6,40,7
-24,41,2,53,-18,-2,-7,5,39,7
-23,44,-5,64,-16,3,-11,5,41,7
-19,45,-1,69,-30,-1,-12,2,46,7
-25,50,-8,69,-38,-8,-21,8,46,7
-32,48,-5,55,-45,-13,-19,8,52,7
-26,50,-6,46,-48,-14,-20,8,53,7
-29,49,-7,47,-48,-18,-22,6,51,7
-24,53,-10,44,-29,-18,-25,5,47,7
-24,48,-11,51,-42,-24,-26,7,45,7
-21,50,-9,48,-39,-23,-28,14,43,7
-19,49,-7,42,-34,-22,-26,12,44,7
-19,48,-5,42,-37,-20,-25,13,39,7
-16,47,0,37,-33,-19,-23,16,35,7
-13,49,1,32,-37,-19,-26,10,36,7
0,48,-1,30,-38,-19,-24,8,32,7
-14,42,6,32,-36,-20,-23,16,32,7
-7,46,2,25,-38,-26,-25,12,34,7
-8,46,3,23,-39,-28,-25,12,31,7
-14,47,0,27,-40,-31,-26,12,33,7
-13,50,-2,26,-40,-34,-28,8,35,7
-8,50,-2,26,-39,-33,-26,8,32,7
-7,50,-1,27,-36,-33,-27,10,32,7
-8,45,2,28,-38,-36,-28,7,35,7
-16,51,0,30,-41,-34,-22,8,34,7
-14,48,0,37,-42,-31,-21,10,35,7
-10,48,1,38,-42,-35,-22,9,35,7
-7,48,2,39,-42,-34,-20,12,37,7
-8,49,1,41,-48,-30,-19,9,36,7
-6,48,1,45,-43,-39,-21,7,32,7
-7,48,3,45,-35,-38,-22,6,40,7
-8,45,4,57,-27,-41,-18,7,38,7
-11,43,5,51,-19,-43,-20,3,36,7
-24,46,5,59,1,-42,-17,3,35,7
-24,42,7,59,15,-46,-15,2,33,7
-19,41,8,30,45,-28,-15,4,42,7
-22,35,10,22,69,-10,-17,5,36,7
-30,44,10,15,66,16,-21,-1,38,7
-29,46,7,14,41,26,-21,-1,37,7
-24,42,5,25,39,25,-20,0,37,7
-26,41,4,42,35,20,-25,-1,40,7
-32,44,5,40,32,20,-23,0,45,7
-39,40,6,45,28,22,-25,2,44,7
-39,39,7,46,25,25,-22,1,49,7
-35,41,9,49,24,27,-19,1,47,7
-34,41,10,52,26,22,-21,3,46,7
-33,39,11,50,25,18,-19,1,47,7
-31,39,11,58,24,17,-17,1,41,7
-29,39,10,50,25,8,-19,0,42,7
-25,42,10,41,27,3,-21,0,39,7
-21,42,8,38,27,4,-20,0,37,7
-18,41,8,45,25,0,-19,1,39,7
-18,43,9,41,23,-7,-21,2,39,7
-19,43,10,45,21,-4,-13,3,37,7
-17,45,9,55,25,-15,-15,1,39,7
-13,44,12,46,21,-18,-20,5,38,7
-9,42,14,42,19,-23,-19,4,35,7
-8,44,16,53,13,-24,-23,0,37,7
-10,47,15,51,1,-27,-19,2,38,7
-10,44,15,48,3,-32,-17,4,38,7
-12,46,16,58,-2,-36,-20,2,38,7
-12,46,17,53,-8,-33,-18,7,37,7
