-31,48,-18,23,33,-21,6,25,33,10
-23,43,-29,23,52,-23,7,26,33,10
-27,35,-31,17,64,-14,4,32,36,10
-27,42,-32,6,71,-10,7,32,38,10
8,51,-30,-10,74,9,2,28,39,10
-3,50,-12,-14,66,18,-7,26,41,10
-6,48,0,-13,58,16,-14,22,43,10
74,109,-3,-9,56,11,-14,25,46,10
12,55,-3,0,67,0,-13,34,30,10
-73,42,-3,7,61,-8,-13,26,32,10
23,63,6,5,53,-12,-15,26,41,10
15,59,6,-1,55,-14,-12,28,42,10
-39,53,0,-8,57,-14,-5,28,37,10
-20,46,1,-12,53,-11,-1,29,34,10
-11,48,1,-8,49,-10,-4,32,33,10
-8,49,2,-5,48,-10,-5,29,33,10
-7,50,3,-3,49,-11,-11,28,31,10
-14,46,2,4,49,-12,-11,27,32,10
-10,50,1,10,51,-12,-11,30,35,10
-9,50,1,13,59,-10,-11,33,33,10
-7,52,0,10,60,-6,-11,33,35,10
-3,53,1,1,56,-1,-10,34,35,10
0,51,3,-4,55,0,-6,35,35,10
11,49,5,-5,54,1,-5,33,33,10
20,48,7,0,52,0,-4,29,30,10
23,46,10,7,48,0,-4,26,26,10
13,45,12,10,43,0,-4,23,26,10
16,45,14,12,39,-1,-3,21,24,10
19,42,18,10,38,-1,-1,19,22,10
10,41,19,10,36,0,-2,14,20,10
-19,39,1,10,34,-1,-5,12,21,10
-33,49,1,13,35,-1,-7,12,61,10
-43,113,0,22,60,-5,7,19,54,10
-26,52,0,9,75,0,2,26,63,10
-44,32,2,2,71,6,5,29,73,10
-68,22,-11,-5,78,15,3,23,71,10
-66,-1,-13,-22,78,28,0,23,66,10
-58,-13,-6,9,77,32,4,24,52,10
-92,-27,1,10,44,39,4,24,43,10
-89,-7,-6,-3,38,32,2,20,36,10
-42,7,-2,7,38,13,1,22,30,10
-47,38,-28,11,43,0,-5,26,25,10
22,-77,-13,14,51,-11,-9,28,25,10
-123,8,17,7,56,-12,-7,32,30,10
8,26,-6,-3,57,-11,-3,32,33,10
-94,86,6,-8,60,-9,-10,30,42,10
-22,23,6,-10,60,-5,-13,27,43,10
18,52,14,-11,61,-2,-12,23,43,10
0,53,6,-9,55,0,-12,19,41,10
-26,47,0,-5,51,1,-8,17,37,10
-28,43,9,5,49,1,-6,17,36,10
12,50,7,10,48,1,-3,20,35,10
30,50,6,11,45,1,-5,22,35,10
2,50,3,7,48,0,-8,24,37,10
-3,51,3,0,55,-3,-10,25,36,10
1,51,3,-2,56,-4,-15,26,37,10
0,49,8,-4,54,-4,-19,26,37,10
1,52,7,-7,55,-3,-16,23,38,10
2,51,2,-11,54,-2,-12,21,38,10
1,50,7,-12,51,0,-7,19,37,10
2,51,4,-12,46,0,-3,20,37,10
-1,52,0,-11,44,1,0,19,37,10
-6,48,1,-7,44,3,1,17,37,10
3,54,1,0,45,2,1,18,34,10
18,53,3,3,46,2,-3,16,38,10
11,78,21,12,51,0,0,17,49,10
-3,58,26,14,59,0,3,9,48,10
18,71,3,8,56,1,0,10,49,10
-2,75,-13,1,52,4,-7,16,46,10
-35,62,-16,0,56,6,-8,12,46,10
-40,41,-16,-1,59,7,-5,10,45,10
-27,33,-15,-7,58,2,-2,17,43,10
-18,35,-13,-3,58,-1,0,16,41,10
-15,42,-13,-14,50,1,-2,14,41,10
-23,40,-12,-6,50,2,-4,12,40,10
-35,33,-9,8,60,1,-3,13,38,10
-46,34,-6,17,68,2,0,12,41,10
-42,36,-3,23,78,-3,1,15,41,10
-37,32,3,33,62,-1,-7,17,43,10
-31,30,9,39,42,-7,-11,17,45,10
-29,32,12,50,34,-10,-10,16,45,10
-37,35,14,48,25,-12,-10,15,44,10
-41,35,14,41,17,-11,-10,14,43,10
-35,34,14,45,16,-12,-11,12,42,10
-20,33,17,39,15,-11,-11,9,41,10
-20,33,18,25,0,-6,-10,9,40,10
-29,33,17,28,1,-7,-9,8,38,10
-31,32,15,44,11,-8,-7,8,37,10
-27,35,12,39,11,-8,-6,8,35,10
-10,38,12,34,10,-6,-7,8,35,10
-3,40,14,34,8,-2,-9,7,35,10
0,37,16,34,10,-1,-10,7,32,10
0,33,16,32,9,-2,-11,4,30,10
0,30,13,26,8,-1,-7,4,31,10
-84,-56,87,95,27,-30,-13,24,59,10
-32,-10,30,57,54,-35,-2,41,52,10
-89,25,-17,95,22,-27,-15,27,64,10
-116,34,-1,95,26,-32,-28,28,64,10
-35,65,0,66,5,-12,-20,28,61,10
-6,68,1,77,8,-7,-10,30,53,10
-29,44,10,64,5,-3,3,26,43,10
-38,44,22,55,7,-1,6,19,40,10
-4,45,23,46,6,-5,6,13,37,10
