-23,33,15,84,58,-1,-39,-8,25,7
-27,35,16,-90,66,50,-29,-10,15,7
-29,37,18,-42,9,55,-40,-10,13,7
-28,37,21,-9,38,27,-48,-5,16,7
-25,33,23,45,69,22,-49,1,22,7
-25,33,25,61,66,3,-50,1,25,7
-28,35,25,57,65,-9,-46,-10,29,7
-28,33,25,54,44,-19,-46,-16,18,7
-29,32,25,51,28,-17,-44,-1,22,7
-29,33,23,65,19,-17,-40,-8,21,7
-25,32,22,82,19,-25,-41,-9,17,7
-23,31,21,63,16,-30,-42,-5,21,7
-24,34,20,54,7,-16,-33,-8,20,7
-23,34,19,71,9,-22,-35,-10,18,7
-21,35,18,71,13,-29,-39,-8,24,7
-17,37,16,66,12,-30,-37,-9,25,7
-9,40,16,66,14,-29,-37,-10,25,7
-5,49,19,60,10,-26,-41,-10,25,7
-8,46,20,51,11,-25,-39,-10,24,7
-8,45,21,50,21,-28,-36,-10,25,7
-9,48,22,51,25,-28,-37,-8,23,7
0,46,19,46,28,-27,-38,-7,23,7
9,53,15,42,35,-25,-39,-5,25,7
1,52,13,30,52,-24,-39,-5,24,7
-10,49,12,15,68,-17,-37,-3,22,7
0,56,18,-7,75,-5,-39,-2,23,7
9,59,21,-14,73,8,-46,7,30,7
-3,48,17,0,63,11,-47,11,30,7
-17,48,16,0,58,2,-47,7,26,7
-10,50,13,-6,55,-7,-47,7,24,7
0,51,10,-10,62,-21,-46,12,24,7
-4,51,6,-8,71,-27,-44,14,28,7
-7,50,7,5,66,-26,-39,12,29,7
-10,51,7,3,58,-20,-37,12,30,7
-7,51,5,-1,53,-11,-33,11,31,7
2,50,8,-2,53,-6,-30,13,29,7
0,50,9,8,52,-5,-30,12,30,7
-1,49,10,12,52,-5,-30,11,31,7
0,49,12,14,53,-4,-30,10,29,7
0,48,14,12,50,-3,-31,10,30,7
-1,48,12,13,50,-1,-34,9,30,7
2,48,12,11,53,-1,-35,7,29,7
4,50,10,12,50,0,-37,7,29,7
-3,49,8,12,50,1,-39,7,29,7
-2,50,9,5,53,2,-38,5,29,7
0,49,11,7,53,3,-37,4,29,7
0,49,10,10,52,3,-36,5,29,7
-3,50,9,14,56,4,-36,7,28,7
0,51,9,9,57,4,-35,7,28,7
0,48,10,-4,59,4,-36,8,30,7
0,50,8,-12,62,1,-36,10,29,7
0,50,7,-10,54,1,-36,10,27,7
-4,49,8,4,55,0,-38,8,26,7
-2,48,9,23,62,-8,-39,8,25,7
1,50,9,26,60,-11,-41,7,24,7
-3,50,10,30,53,-14,-41,8,23,7
-5,49,10,27,55,-18,-41,7,22,7
3,50,10,24,56,-22,-41,7,22,7
0,49,8,31,52,-26,-42,7,23,7
-3,50,8,40,50,-33,-43,6,24,7
1,51,7,38,47,-36,-40,4,24,7
0,51,6,38,39,-37,-39,4,25,7
-1,50,7,39,35,-37,-40,3,24,7
-2,51,7,41,32,-37,-39,2,24,7
