-39,46,-11,70,37,-16,-30,2,53,6
-30,46,-11,68,24,-14,-24,3,43,6
-26,47,-11,59,18,-13,-19,0,41,6
-26,37,-6,50,14,-15,-17,0,35,6
-18,44,-5,41,11,-12,-17,2,30,6
-19,37,1,32,15,-10,-17,1,28,6
-12,39,5,28,17,-10,-17,1,25,6
-6,41,7,23,16,-12,-17,0,22,6
2,43,10,21,12,-11,-19,0,22,6
5,42,12,21,2,-10,-17,-1,24,6
8,45,10,20,1,-12,-17,0,28,6
9,49,8,8,3,-10,-20,3,30,6
8,49,8,4,8,-13,-20,2,36,6
6,50,6,10,5,-10,-19,7,37,6
7,50,6,1,4,-4,-20,10,38,6
11,50,7,9,16,-12,-23,7,41,6
16,51,8,29,22,-6,-18,8,40,6
18,50,9,32,25,-15,-17,9,39,6
21,49,11,35,26,-10,-13,7,40,6
20,49,17,45,12,-10,-8,9,33,6
20,45,18,39,24,-7,-6,10,30,6
12,39,19,44,37,2,-13,7,25,6
-2,38,8,59,36,0,-14,5,23,6
-16,38,-7,60,25,-2,-17,2,22,6
-44,31,-6,65,25,-2,-22,-2,25,6
-51,33,-12,73,30,3,-27,-5,30,6
-27,45,-1,70,33,4,-31,-3,33,6
-4,56,-10,69,42,4,-32,0,46,6
-38,41,-9,73,48,4,-27,1,51,6
-55,43,-9,67,44,1,-25,1,57,6
-43,50,-10,76,47,-3,-29,1,58,6
-41,44,-7,85,49,-4,-35,-3,57,6
-46,50,-12,73,47,-7,-36,-1,60,6
-43,50,-12,65,49,-10,-36,2,61,6
-47,47,-9,80,46,-11,-35,-1,61,6
-44,46,-10,79,37,-12,-31,1,57,6
-35,46,-9,65,33,-12,-26,3,51,6
-30,47,-5,64,28,-12,-23,0,46,6
-25,41,-3,55,14,-12,-20,0,39,6
-22,42,-3,49,10,-10,-16,3,33,6
-19,41,-2,43,11,-11,-15,2,31,6
-14,43,0,41,9,-13,-17,0,27,6
-7,44,2,28,8,-11,-15,0,25,6
-7,42,6,19,11,-8,-16,0,25,6
0,40,10,14,9,-8,-15,-2,25,6
5,44,11,20,8,-10,-18,-3,26,6
3,45,11,20,3,-8,-19,-4,26,6
2,49,5,15,3,-8,-18,-1,30,6
5,50,4,3,7,-9,-19,0,35,6
8,50,6,1,4,-7,-21,3,37,6
9,50,7,5,6,-7,-20,8,38,6
12,50,7,16,11,-10,-20,10,39,6
