-45,7,-4,24,21,-1,-19,0,39,10
-66,32,-13,42,14,4,-13,1,39,10
-44,31,7,48,19,1,-14,6,41,10
6,73,28,52,22,0,-15,11,45,10
-75,37,23,51,23,3,-9,11,40,10
-21,-26,21,46,22,0,-11,11,43,10
-37,26,3,43,33,-5,-12,14,44,10
-46,83,-21,38,38,-8,-12,12,44,10
-56,32,-9,24,41,-12,-11,10,44,10
-23,37,5,18,44,-16,-7,12,43,10
-4,53,25,14,50,-19,-5,9,42,10
0,56,20,17,55,-21,-3,5,41,10
-10,44,10,24,64,-20,-5,0,37,10
-30,39,0,26,74,-22,-11,-5,36,10
-34,46,-3,33,83,-24,-23,-13,31,10
-39,36,8,31,83,-23,-32,-20,35,10
-58,35,5,28,92,-21,-40,-20,37,10
2,57,-8,23,94,-24,-42,-17,36,10
30,57,3,12,91,-23,-39,-14,38,10
-10,38,7,7,86,-24,-34,-12,39,10
-40,37,2,2,77,-33,-25,-5,39,10
-61,28,-1,0,72,-37,-21,-4,39,10
-50,30,-19,8,56,-41,-16,-7,38,10
-36,31,-27,9,49,-44,-13,-7,39,10
-18,46,-41,6,40,-46,-9,-3,39,10
5,61,-17,5,37,-46,-10,-2,43,10
29,64,-2,10,34,-46,-7,0,44,10
66,101,11,11,33,-48,-7,0,51,10
36,53,-2,19,37,-48,-6,8,43,10
-50,41,-14,26,36,-41,-10,2,41,10
-56,32,-14,28,37,-40,-11,1,40,10
-6,60,-1,28,39,-42,-11,4,42,10
-8,49,-5,32,41,-43,-18,7,42,10
-19,49,-8,30,42,-43,-21,11,41,10
-15,53,-10,33,55,-45,-15,13,42,10
-7,53,-10,23,41,-44,-12,15,43,10
0,50,-7,41,48,-45,-8,19,39,10
-5,51,-6,28,38,-46,-10,16,41,10
-3,55,-7,27,37,-47,-15,13,38,10
1,48,3,36,36,-47,-13,19,36,10
14,52,1,37,28,-42,-16,18,35,10
17,52,2,30,30,-41,-12,15,35,10
3,49,4,32,30,-38,-13,11,34,10
-7,46,5,38,25,-35,-11,13,36,10
-6,50,0,37,23,-30,-12,12,35,10
-10,52,-7,35,30,-32,-5,10,43,10
-15,51,-5,29,38,-38,0,21,41,10
-12,50,0,32,39,-36,2,33,44,10
-6,50,-2,38,43,-39,-6,30,48,10
-15,48,-5,50,44,-37,-13,21,49,10
-4,51,-1,55,37,-32,-16,19,47,10
-9,50,0,60,25,-28,-10,20,44,10
-28,46,-3,55,20,-27,-9,17,41,10
-19,46,-3,53,29,-28,-7,18,40,10
-4,54,-5,48,30,-30,-5,19,39,10
-13,45,-1,34,28,-33,-6,21,40,10
-25,43,-1,32,30,-34,-6,21,38,10
-23,45,-1,32,26,-36,-12,21,39,10
-21,50,0,33,28,-39,-19,23,38,10
-17,46,-2,27,28,-44,-22,24,37,10
-10,46,-1,29,31,-42,-25,26,33,10
-8,50,0,25,28,-47,-30,21,30,10
7,48,0,25,25,-47,-35,19,29,10
2,51,1,25,23,-50,-36,17,27,10
0,49,4,17,22,-55,-37,14,26,10
1,49,5,21,15,-54,-40,13,24,10
5,50,3,24,12,-58,-40,12,24,10
1,51,-2,21,10,-66,-40,9,29,10
0,51,-2,22,6,-66,-37,9,30,10
-4,50,-5,28,4,-69,-34,16,28,10
-4,50,-7,28,-3,-76,-31,15,30,10
-7,50,-7,32,-1,-74,-29,15,30,10
-2,55,-8,36,-8,-74,-29,15,32,10
-12,48,-9,44,-7,-78,-25,19,34,10
-21,48,-7,46,-10,-82,-21,21,36,10
-14,51,-8,41,-15,-80,-17,26,35,10
-7,50,-9,34,-19,-74,-16,24,34,10
-13,51,-11,34,-27,-69,-21,25,31,10
-2,53,-3,40,-26,-66,-26,25,36,10
17,56,2,39,-26,-68,-19,25,34,10
41,62,-4,30,-31,-59,-15,29,31,10
10,67,-3,23,-30,-51,-15,19,30,10
7,76,-1,25,-26,-53,-17,23,36,10
-10,57,-7,25,-26,-55,-21,26,42,10
-23,42,-12,24,-26,-49,-19,26,44,10
-3,36,-36,31,-23,-47,-13,25,44,10
7,35,-51,35,-18,-42,-15,27,45,10
-27,19,-48,42,-15,-34,-16,23,40,10
-109,42,-37,48,-7,-30,-18,20,36,10
-108,28,-22,50,0,-27,-18,17,33,10
-44,30,-6,61,3,-25,-20,12,33,10
9,34,9,63,0,-27,-20,12,33,10
4,37,9,71,4,-24,-20,12,32,10
-30,44,-1,71,3,-30,-19,12,33,10
-52,46,-5,37,16,-10,-15,18,35,10
-66,28,3,2,42,10,-6,20,36,10
1,61,9,69,65,11,-8,10,35,10
-6,38,0,59,23,-7,-25,5,42,10
-90,18,5,31,17,-16,-28,9,43,10
-44,61,3,46,25,-19,-25,7,50,10
-21,53,3,50,22,-12,-22,8,45,10
-13,47,0,50,24,-5,-19,9,40,10
-16,37,6,45,27,-1,-19,10,37,10
-17,48,6,50,24,-1,-13,8,38,10
-21,45,3,52,21,-3,-11,7,38,10
-22,45,4,55,30,-6,-14,7,38,10
-19,50,6,49,33,-10,-17,7,38,10
-15,50,5,38,37,-13,-21,4,38,10
-10,48,3,31,39,-16,-24,0,39,10
0,51,4,25,42,-23,-29,-4,37,10
7,54,9,28,50,-26,-30,-6,38,10
-19,50,12,23,50,-25,-30,-8,38,10
-32,42,14,26,51,-26,-26,-6,38,10
-33,43,6,25,64,-27,-25,-6,37,10
-3,49,7,21,65,-26,-25,-7,36,10
-4,50,10,26,70,-30,-25,-8,37,10
-15,43,8,28,66,-31,-26,-8,36,10
-26,41,5,27,67,-33,-25,-6,37,10
-32,40,1,23,66,-34,-23,-5,37,10
-38,39,-5,25,61,-36,-21,-3,35,10
-37,39,-9,28,57,-38,-21,-1,36,10
-35,43,-17,27,50,-39,-19,-3,37,10
-19,53,-20,25,45,-41,-17,0,38,10
-13,51,-19,20,38,-43,-17,1,41,10
-3,50,-17,18,33,-42,-16,2,43,10
0,52,-22,15,30,-44,-13,2,46,10
0,55,-9,14,31,-44,-7,6,46,10
85,98,-6,17,34,-46,-14,4,53,10
37,79,0,21,39,-44,-10,12,40,10
-28,35,-3,21,38,-34,-13,8,36,10
-32,32,0,23,35,-35,-14,3,35,10
-13,50,2,28,36,-39,-18,5,35,10
-17,49,0,32,41,-39,-23,12,37,10
-23,46,-2,32,44,-39,-23,15,40,10
-12,54,-11,29,44,-38,-19,19,44,10
-7,56,-11,32,49,-37,-18,19,44,10
-8,50,-8,37,48,-31,-12,19,44,10
-15,47,-9,25,39,-33,-11,17,41,10
-14,51,-11,32,37,-33,-12,16,38,10
0,51,-11,37,36,-33,-12,17,36,10
12,48,-3,35,31,-32,-12,18,33,10
9,50,-1,26,30,-30,-10,17,33,10
8,52,-1,15,32,-29,-14,15,33,10
12,51,-1,17,33,-32,-14,15,33,10
10,50,0,15,38,-32,-17,14,35,10
-4,50,-3,19,37,-32,-16,14,38,10
0,51,-4,21,40,-36,-17,17,38,10
-5,53,-3,20,42,-37,-19,14,47,10
-12,49,-6,27,43,-35,-21,19,42,10
-17,47,-6,30,43,-35,-18,21,41,10
-13,53,-5,33,43,-33,-13,25,41,10
-7,50,-5,37,43,-32,-13,31,37,10
-6,49,-7,45,41,-31,-16,30,37,10
-8,50,-3,48,39,-30,-17,26,37,10
-7,49,1,48,32,-28,-18,24,37,10
-7,49,0,45,29,-27,-17,24,37,10
-13,48,-1,44,30,-26,-17,24,35,10
-8,48,-4,42,33,-27,-19,23,36,10
-7,48,-6,39,37,-31,-23,21,37,10
-9,50,-2,36,37,-30,-25,21,36,10
-8,48,3,38,37,-33,-25,21,37,10
-11,50,1,32,38,-34,-24,23,37,10
-7,51,-4,28,40,-32,-24,23,35,10
-2,50,-2,34,38,-31,-26,20,33,10
-8,50,-6,35,41,-34,-29,17,31,10
-6,50,4,29,44,-34,-28,21,30,10
-11,50,7,26,41,-37,-31,17,30,10
0,48,3,17,42,-41,-32,19,28,10
4,50,4,16,44,-40,-33,21,29,10
2,50,1,34,23,-36,-32,18,29,10
5,51,3,17,46,-37,-32,21,28,10
1,51,1,21,46,-38,-32,18,29,10
-3,50,-4,23,45,-40,-29,19,29,10
-4,52,-6,25,44,-46,-32,18,34,10
