-30,64,76,67,-24,0,-67,53,-28,1
-28,52,61,71,-22,11,-47,54,-17,1
-24,50,60,78,-22,4,-54,62,-19,1
-25,52,66,77,-49,-1,-67,121,-18,1
-20,65,75,95,-55,-14,10,-96,-8,1
-10,55,56,116,-49,-3,-4,72,11,1
-16,57,50,-121,38,11,-23,114,-9,1
-32,94,64,-105,17,-20,-1,95,-18,1
-37,91,71,-113,36,-18,-4,103,-23,1
-14,75,58,125,20,5,-2,98,-21,1
-17,56,46,116,-6,21,-1,100,-8,1
-15,69,53,102,-16,-6,15,97,-5,1
-14,70,63,70,-24,-24,30,105,-8,1
-3,82,73,47,-24,-22,23,114,5,1
-9,59,62,40,-19,2,-16,-114,19,1
-11,44,60,62,-25,3,-47,105,-8,1
-33,62,68,87,-35,2,-54,66,-36,1
-42,72,79,114,-42,-10,-83,56,-26,1
-30,66,67,-124,-41,-2,-53,60,-21,1
-20,58,57,-116,-30,21,-47,59,-21,1
-33,57,54,-118,-27,1,-62,67,-24,1
-21,58,67,-127,32,-5,-61,75,-17,1
-21,66,80,126,26,-7,-8,-116,-1,1
-14,67,76,105,10,-7,-9,115,19,1
-10,47,55,81,8,-1,-33,83,-10,1
-12,35,48,59,8,0,31,104,7,1
-28,93,68,98,5,-33,14,100,-21,1
-41,77,75,100,28,-25,-6,106,-25,1
-28,62,60,99,15,-8,-6,99,-13,1
-26,57,48,100,-16,-2,3,98,-11,1
-26,64,49,100,-7,-11,6,101,-5,1
-35,79,59,110,9,-25,13,101,-11,1
-27,73,64,107,33,-24,5,105,-6,1
-32,60,51,99,36,-16,0,99,4,1
-37,58,51,99,33,-9,-12,125,24,1
-41,56,57,100,31,-14,-34,120,14,1
-47,65,58,100,39,-20,-49,78,-26,1
-50,66,64,99,46,-22,-76,48,-15,1
-41,57,62,96,48,-15,-48,65,-11,1
-39,53,58,93,42,-12,-28,86,-5,1
-38,55,58,93,40,-10,-14,101,-5,1
-41,61,69,105,44,-24,-33,-107,28,1
-41,57,56,89,55,-19,42,101,27,1
-45,56,51,81,51,-16,37,98,0,1
-46,61,53,103,38,-22,12,103,4,1
-44,67,49,102,16,-28,16,101,8,1
-44,72,42,100,9,-19,0,104,-3,1
-47,74,43,101,11,-37,5,107,-11,1
-41,76,50,80,32,-67,20,101,-10,1
-32,72,49,82,28,-67,28,101,-4,1
-31,73,40,99,-2,-42,22,100,0,1
-25,72,38,114,16,-36,25,102,1,1
-19,76,46,126,25,-26,23,105,17,1
-11,67,58,111,42,-8,-17,-117,19,1
-22,76,58,125,37,6,-55,98,-36,1
-22,93,80,-108,15,11,-87,60,-43,1
-30,82,69,-103,1,29,-65,47,-14,1
-30,71,64,126,-14,20,-55,57,-13,1
-23,53,64,87,-41,17,-60,71,-12,1
-20,43,69,50,-26,6,-58,71,-16,1
-24,50,71,13,0,5,-48,-115,7,1
-19,60,66,14,14,-8,-4,-127,32,1
-2,50,44,48,25,-10,10,73,-7,1
-33,76,66,82,-25,-36,8,114,-5,1
-39,72,66,121,-46,-38,-3,103,-27,1
-27,69,60,-99,-74,-17,0,97,-16,1
-31,71,59,-88,-26,10,-27,105,-16,1
-20,69,50,-56,62,35,-7,100,-14,1
-17,79,50,-102,32,3,14,99,-10,1
-6,73,56,-116,19,-2,39,98,-1,1
-7,66,71,-125,5,-7,26,123,23,1
-5,58,59,101,-1,14,16,-102,13,1
-27,46,60,78,-11,8,-81,60,-45,1
-29,71,90,57,-14,0,-87,41,-53,1
-26,78,85,25,-2,21,-81,33,-39,1
-33,63,64,40,13,16,-46,24,-16,1
-26,55,62,65,0,-6,-97,52,-24,1
-26,43,56,81,-31,-16,-94,77,-11,1
-45,58,65,92,-61,-19,53,-95,14,1
-29,50,48,-106,-35,-18,5,-116,1,1
-25,78,67,-106,28,-3,-18,105,-28,1
-24,59,63,123,0,-5,-15,100,-19,1
-14,59,49,109,-7,-3,-3,92,-17,1
