-26,44,1,59,6,-12,30,20,33
-23,42,4,58,4,-13,30,21,31
-19,44,5,55,4,-10,31,20,29
-17,45,5,53,3,-10,31,18,28
-18,44,4,53,2,-10,30,17,28
-18,44,4,53,8,-7,30,17,26
-17,46,5,55,12,-3,29,17,26
-12,46,4,60,9,-1,27,21,30
1,50,9,60,8,0,28,24,30
12,55,12,63,10,0,32,26,33
12,58,10,70,8,0,34,28,36
0,55,7,67,5,-1,35,29,39
-7,49,4,63,1,0,33,27,35
-8,50,5,59,-1,1,31,25,33
-11,48,6,54,-10,3,31,20,32
-11,48,9,50,-12,4,31,18,30
-6,48,10,48,-12,4,30,19,30
-5,48,12,44,-12,6,29,17,31
-9,48,12,40,-13,8,28,14,29
-21,44,6,39,-17,6,27,14,29
-31,38,2,39,-22,10,27,13,30
-47,33,-2,42,-23,10,28,10,33
-58,28,-5,32,-20,6,32,13,35
-42,38,-6,29,-23,8,37,14,38
-27,48,-3,23,-17,9,37,16,38
-27,48,-2,20,-10,13,35,15,35
-32,41,0,20,-4,14,30,14,33
-30,39,1,19,-7,10,28,14,32
-23,41,4,16,-5,8,29,14,31
-21,43,3,19,-1,10,32,13,28
-26,42,4,25,-3,8,33,12,30
-28,42,4,30,0,8,31,14,32
-27,43,3,34,0,14,30,13,27
-22,44,0,41,0,15,29,12,30
8,47,8,41,0,12,30,18,31
35,61,20,43,1,17,32,19,29
19,62,18,61,-4,17,37,21,40
-11,51,6,65,-4,12,36,23,41
-14,47,2,57,-1,2,29,21,37
-12,49,2,56,3,4,28,20,33
-16,46,4,58,10,1,29,17,33
-13,45,5,55,5,1,30,18,33
-10,49,5,51,8,-3,32,17,32
-8,50,8,54,12,3,33,14,30
-10,47,10,58,11,2,30,15,32
-12,46,11,53,8,-1,25,16,30
-15,48,7,47,5,-1,24,17,30
-21,44,4,51,5,0,26,17,30
-42,33,0,64,5,-2,26,16,31
-49,31,-1,58,9,-9,29,15,31
-46,32,-7,57,15,-7,36,15,33
-41,35,-10,60,21,-8,39,15,35
-33,44,-7,62,24,-11,37,19,35
-32,44,-4,63,27,-13,34,21,34
-31,41,0,60,30,-16,32,20,32
-27,39,1,53,31,-13,30,21,30
-25,41,3,51,29,-10,29,22,29
-25,43,4,55,26,-6,30,20,30
-25,42,5,54,25,-6,29,19,29
-22,44,4,51,23,-7,28,19,27
-18,44,4,52,21,-7,28,20,28
-12,46,3,52,16,-7,30,21,28
-10,48,3,55,13,-3,30,23,30
0,51,9,61,10,-2,33,23,34
11,54,14,67,0,0,35,23,34
6,55,12,71,-1,0,33,25,35
-7,50,6,67,-5,-5,31,28,35
-9,48,5,61,-8,-7,30,27,34
-13,49,5,54,-13,-3,30,22,31
-15,47,7,49,-16,-2,29,21,30
-13,46,7,44,-15,-5,30,21,32
-12,46,7,38,-19,1,32,19,29
-15,46,6,38,-19,8,31,17,28
-16,46,7,34,-19,4,30,19,30
-15,45,7,35,-23,8,29,18,29
-12,48,7,38,-25,12,30,16,28
-17,43,5,35,-24,8,30,16,31
-51,33,-3,32,-25,11,32,16,32
-56,32,-7,33,-22,16,35,15,32
-37,40,-9,28,-19,15,39,17,35
-28,46,-6,28,-18,18,38,18,35
-32,43,-1,34,-16,22,33,16,32
-31,41,0,34,-12,21,30,16,31
-24,42,1,29,-12,19,28,18,32
-23,43,2,30,-14,19,28,18,31
-23,42,3,27,-8,17,31,19,31
-23,44,4,23,-7,16,33,19,31
-25,43,4,24,-6,19,32,15,29
-24,43,3,30,-3,22,30,11,29
-21,43,0,33,0,22,28,12,30
-2,49,7,35,0,25,29,15,30
16,55,15,38,0,24,31,15,33
21,58,17,38,6,20,35,21,37
3,56,12,38,10,17,35,25,37
-8,50,6,39,11,17,31,21,36
-9,49,5,37,14,14,31,19,35
-12,48,6,37,17,10,28,18,32
-14,46,6,45,12,14,30,15,31
-14,46,6,46,14,11,32,13,31
-17,45,6,37,14,4,34,15,33
-18,45,6,39,13,1,33,14,32
-18,45,7,49,14,7,29,12,28
-19,46,5,48,14,5,27,12,31
-25,40,0,46,15,0,28,14,31
-37,37,0,59,17,7,31,13,30
-49,33,-3,60,18,6,33,14,35
-46,35,-6,62,16,-1,35,17,35
-32,42,-5,60,13,0,37,17,35
-24,49,-1,62,13,0,36,17,35
-26,46,0,59,13,-6,35,19,35
-28,40,3,50,17,-10,32,18,31
