-10,54,12,41,30,-24,4,27,41
-25,42,13,38,30,-24,4,26,40
-19,45,10,37,30,-23,5,24,40
-24,40,5,37,30,-21,5,22,40
-29,37,0,38,28,-20,5,20,41
-31,37,4,40,28,-19,5,19,41
-38,37,7,43,27,-19,5,19,41
-28,41,7,44,26,-19,5,20,41
-14,49,7,45,26,-20,4,22,41
-9,52,8,44,27,-20,5,21,42
-14,48,8,42,27,-19,7,20,42
-24,45,5,41,27,-18,7,20,41
-19,48,5,41,27,-17,9,20,40
-23,44,7,41,28,-17,10,21,40
-23,46,2,40,28,-18,12,21,41
9,63,7,41,29,-19,12,23,41
21,65,-4,41,28,-21,14,24,42
-5,63,2,41,26,-23,12,26,41
-35,39,5,39,26,-24,11,25,41
-10,48,5,38,25,-23,12,24,39
-12,47,20,36,23,-22,11,23,37
-23,39,24,35,23,-21,10,21,37
-31,37,19,37,22,-19,10,19,38
-33,36,12,38,22,-19,10,18,38
-26,35,9,39,21,-18,9,17,38
-23,37,6,41,22,-17,9,14,41
-25,41,2,43,24,-16,10,14,43
-28,42,3,47,28,-14,11,16,44
-28,42,6,50,31,-14,9,17,45
-16,48,5,50,33,-15,8,19,45
-10,48,8,48,32,-17,8,19,44
-3,50,8,42,28,-18,8,18,42
-1,51,10,39,26,-18,10,17,40
0,48,15,37,25,-18,10,16,40
-1,46,12,37,25,-17,10,16,40
-14,48,8,37,26,-17,12,16,41
-14,54,20,41,28,-18,11,19,42
8,53,21,44,28,-19,9,22,43
1,60,14,45,27,-21,8,23,42
1,53,13,43,25,-22,8,23,42
-5,54,14,42,23,-23,9,23,40
-5,55,12,37,21,-23,8,22,38
-6,53,6,36,19,-22,9,20,38
-10,53,3,36,20,-21,10,19,38
-14,46,1,36,21,-20,10,18,38
-22,41,-1,38,24,-19,9,17,39
-30,38,-5,42,30,-17,8,17,42
-28,36,-4,44,34,-16,7,19,44
-25,38,-5,49,38,-16,7,22,45
-23,36,-2,49,37,-17,6,22,45
-28,34,-1,44,31,-19,7,21,44
-39,32,0,41,29,-19,8,19,42
-38,33,0,37,25,-20,10,18,41
-30,37,5,37,24,-21,11,17,41
-28,37,7,35,24,-20,10,17,39
-30,38,9,37,25,-21,8,18,40
-31,38,10,37,26,-21,7,18,40
-26,42,12,40,28,-21,6,19,41
-24,43,12,40,29,-19,6,18,41
-24,43,15,41,29,-18,5,17,41
-19,45,7,41,29,-18,5,17,40
-11,60,25,42,28,-18,5,19,41
-31,46,22,42,28,-21,6,21,42
9,68,20,41,26,-23,7,24,41
0,57,16,39,26,-25,7,25,41
-19,53,9,38,26,-25,6,26,41
-24,49,10,36,26,-26,6,25,41
-13,49,8,35,27,-25,7,25,40
-15,44,4,35,28,-23,7,22,40
-32,35,0,37,30,-20,7,20,41
-35,32,-3,40,31,-18,7,19,41
-30,33,-1,43,33,-17,6,20,41
-30,37,0,45,33,-17,6,20,42
-25,39,3,45,31,-17,7,19,41
-25,42,4,43,27,-18,7,18,41
-14,48,6,41,25,-19,7,18,41
-11,50,3,39,25,-19,8,17,41
-14,50,3,37,24,-19,9,17,40
-23,44,4,37,25,-19,8,17,39
-25,43,-12,39,28,-19,6,20,40
18,68,-5,42,31,-21,7,24,42
8,56,-3,41,34,-25,4,28,42
-7,56,9,40,35,-26,2,27,42
-40,45,8,37,34,-27,4,26,42
-20,46,16,35,33,-26,6,26,40
6,51,19,33,28,-24,8,24,38
-6,51,15,32,25,-23,12,20,38
-29,44,10,32,23,-22,14,19,39
-25,46,8,37,21,-21,14,16,39
-8,47,9,38,19,-19,12,14,39
