-12,36,16,23,-1,36,1,12,41
7,40,16,22,-1,35,1,12,40
-2,53,12,21,-1,35,3,12,39
-5,41,12,21,-1,34,3,12,38
-5,42,11,20,-1,34,3,12,38
-7,42,9,21,-1,34,3,12,37
-4,39,12,22,-1,33,3,12,37
-10,33,-4,22,0,34,3,12,38
0,48,1,25,0,35,1,13,39
-7,52,6,27,0,37,1,15,41
-3,59,11,28,0,39,1,17,47
-19,64,8,36,0,41,3,21,50
1,63,22,37,3,43,6,24,56
0,87,25,31,3,45,5,23,57
-18,63,24,25,0,47,2,20,54
-21,60,14,29,-1,46,2,19,49
-10,54,7,29,-3,44,2,18,44
-23,24,12,25,-8,41,1,16,41
-33,25,11,25,-8,39,3,16,39
-23,40,4,22,-4,35,5,14,39
-21,26,0,23,-3,33,5,15,40
-26,7,5,23,0,32,6,16,39
-49,5,7,21,0,33,5,15,38
-45,26,9,21,0,33,2,13,37
-20,35,14,23,-1,35,2,13,36
3,52,17,23,-3,35,1,13,37
8,64,17,26,-4,35,2,16,38
-36,42,33,26,-3,35,1,17,40
-35,44,33,30,-2,36,2,18,44
35,74,28,32,0,38,4,19,48
12,85,19,32,0,40,4,21,50
-16,61,16,27,1,42,3,20,49
-28,46,10,25,-1,42,3,18,45
-26,42,5,26,-5,41,4,18,42
-10,22,5,29,-6,41,5,19,41
-11,46,-6,28,-5,39,6,19,41
-20,26,-4,24,-3,37,6,18,41
-30,23,0,21,-1,35,6,17,39
-31,33,4,21,-2,34,5,16,38
-12,43,5,22,-3,34,6,14,37
0,45,7,23,-3,34,7,14,37
-1,51,6,23,-2,33,5,14,38
-10,51,5,23,0,32,5,16,38
-16,44,0,24,1,33,5,17,38
-20,40,12,25,1,35,3,19,39
-17,37,12,28,0,37,3,19,42
-22,49,16,29,0,39,7,19,46
3,58,15,28,0,41,8,19,46
9,73,19,26,-1,44,5,18,49
6,69,18,28,-3,46,6,19,50
0,71,19,30,-5,48,7,21,52
-11,62,14,30,-4,47,7,21,51
-10,56,12,28,-3,44,6,20,50
0,57,10,27,-3,43,5,19,46
-6,52,9,26,-2,41,6,18,44
-14,29,12,24,-1,39,7,15,42
-33,41,7,22,-1,38,8,12,41
-33,34,12,21,-1,36,7,12,39
-7,34,13,23,-1,35,7,14,39
-1,53,12,23,-1,33,8,14,40
-8,53,10,23,-1,33,8,14,41
-15,45,2,22,0,33,7,14,39
-10,49,-5,23,0,33,3,14,38
-8,42,0,25,1,33,3,16,37
-12,33,2,27,2,34,3,17,37
-19,39,8,26,2,35,3,19,39
-11,38,0,29,1,37,5,20,42
-11,56,7,28,2,40,9,20,44
-23,55,11,24,0,42,8,17,48
-22,60,18,26,-5,43,7,17,48
-13,44,24,30,-5,44,7,17,48
-13,53,19,26,-5,43,7,16,47
-5,60,18,25,-5,41,5,15,46
-5,52,19,28,-3,39,4,16,45
-8,38,15,26,-1,38,4,15,44
-25,39,9,24,-1,38,3,15,41
-33,50,9,23,-1,37,4,14,42
-19,41,11,23,-1,37,5,13,40
5,33,22,24,-3,37,6,14,39
-8,54,9,21,-3,36,6,14,39
-11,42,11,21,-2,35,5,13,38
-13,40,10,22,-2,34,5,14,37
-10,44,9,22,-1,33,5,14,37
3,46,12,23,-1,34,6,13,39
-8,42,7,23,0,34,5,13,39
-10,39,12,23,-1,35,5,14,41
-18,44,9,26,-1,38,7,15,44
-11,54,13,26,-1,39,6,17,46
5,69,20,30,-3,43,6,19,49
-7,78,8,34,-3,44,9,24,52
10,60,22,30,-1,46,8,23,53
23,83,19,29,-4,46,5,20,50
-17,58,17,28,-5,44,6,18,48
-21,46,16,26,-5,41,5,15,43
-18,41,11,25,-4,39,5,14,42
-26,34,9,23,-3,36,6,14,39
-16,39,4,22,-1,35,6,14,40
-26,25,-3,23,0,35,8,16,39
-41,7,5,22,0,34,8,16,39
-55,9,12,21,-1,35,7,16,39
-25,28,10,23,-1,35,6,15,38
-2,40,23,22,-2,34,5,15,37
-5,40,25,20,-4,32,7,14,35
-10,41,30,19,-6,32,8,12,38
-8,48,19,23,-7,34,5,10,40
-27,56,24,27,-5,37,3,15,41
-25,57,14,33,-4,40,1,22,47
45,75,28,35,-2,43,3,23,50
13,76,13,30,-1,44,4,22,50
-41,62,8,28,-6,45,3,22,48
-17,41,3,32,-7,44,6,22,46
-30,37,1,31,-6,42,7,21,44
-46,16,2,26,-4,40,7,20,42
-37,15,7,25,-3,38,7,18,40
-14,28,8,23,-2,36,8,17,39
-8,28,9,22,-2,35,9,15,37
-21,32,12,23,-2,33,9,15,37
-31,35,10,22,-3,32,10,14,38
-29,39,8,23,-2,32,8,14,39
-19,39,10,23,0,33,8,14,39
-8,46,11,23,0,33,7,15,39
-6,49,12,25,0,36,6,16,39
-6,50,9,26,0,37,7,17,39
-23,51,12,24,0,37,7,17,41
-2,50,11,28,0,38,9,18,44
-1,68,16,30,0,39,10,19,47
6,60,10,27,1,42,10,19,49
-23,63,17,28,0,44,8,21,51
-22,59,15,31,-2,46,7,21,50
-7,61,19,29,-4,47,7,19,49
-3,57,16,26,-6,46,7,18,48
-12,37,23,25,-5,42,7,14,43
-15,42,16,21,-5,40,8,12,40
-10,41,14,18,-8,37,5,10,41
-23,42,8,23,-10,36,7,11,41
-36,40,10,26,-8,34,10,12,41
-25,28,11,24,-2,33,11,15,41
-9,39,7,21,0,33,10,16,39
-15,46,4,23,0,35,7,17,37
-27,35,5,24,0,36,9,18,37
-11,41,0,25,0,37,7,21,36
4,57,-4,28,0,38,8,25,35
18,44,-3,32,1,38,10,28,41
-32,55,10,26,4,39,11,23,43
-41,46,18,21,0,42,12,20,45
-28,46,13,25,-3,44,14,17,48
-16,55,12,26,-5,43,14,16,50
0,60,13,24,-6,42,12,12,50
-5,62,17,21,-5,41,9,12,49
