-37,40,-5,32,23,-38,30,16,42
-34,44,-3,27,19,-32,29,12,42
-32,43,-2,26,18,-30,24,10,48
-41,40,-3,27,23,-26,20,8,53
-47,34,-1,29,26,-28,25,7,51
-49,27,0,32,25,-29,33,10,49
-46,27,0,35,25,-30,31,13,46
-37,28,3,38,26,-31,20,16,40
-31,29,4,39,28,-30,16,15,35
-27,32,3,42,29,-28,18,14,31
-23,34,5,43,30,-26,21,12,25
-22,34,6,41,30,-26,22,10,25
-9,39,4,39,32,-25,25,10,23
-4,48,0,36,33,-24,23,10,22
8,53,-6,34,32,-26,23,15,23
14,67,20,31,38,-36,21,19,28
-32,51,19,26,43,-48,23,42,44
-48,37,3,19,49,-62,26,53,48
-39,42,-16,15,50,-71,25,45,50
-21,56,-19,14,48,-68,33,42,49
-21,55,-16,23,51,-59,26,36,44
-24,45,-9,30,50,-51,29,26,37
-25,44,0,41,42,-39,26,23,31
-15,42,11,46,37,-35,20,18,24
0,46,12,50,35,-32,17,18,23
5,49,14,46,31,-37,12,20,23
14,57,19,32,16,-37,14,21,24
14,55,17,35,26,-39,19,18,27
7,60,10,36,21,-37,21,11,27
-26,52,0,25,15,-37,25,5,35
-42,50,0,25,17,-36,33,3,45
-36,41,0,26,12,-30,32,5,48
-43,25,-3,27,12,-26,29,7,53
-49,18,-5,30,13,-25,29,10,54
-56,20,-2,32,17,-25,30,13,53
-50,23,0,37,21,-25,33,13,50
-42,20,1,40,24,-25,29,16,41
-39,23,2,40,24,-26,24,15,36
-40,19,0,41,25,-30,21,12,30
-40,19,0,41,26,-31,20,12,28
-33,17,1,39,28,-32,19,12,27
-17,48,5,39,30,-34,19,12,26
-1,50,6,39,33,-37,20,13,25
13,64,4,37,35,-40,24,21,26
-2,57,4,33,38,-48,21,20,25
-3,53,12,26,42,-53,16,27,30
-8,62,15,20,44,-54,19,36,36
-42,39,6,16,48,-62,26,40,41
-43,41,-6,14,53,-66,28,39,45
-25,49,-18,13,51,-60,30,40,43
-26,52,-19,22,48,-52,27,37,43
-32,49,-19,30,46,-49,30,34,40
-31,46,-13,40,39,-44,31,28,35
-26,44,-4,48,38,-42,26,28,32
-16,43,8,52,39,-52,20,26,25
-7,44,10,47,35,-50,19,24,23
-4,43,8,28,19,-50,17,21,23
-4,44,10,26,15,-50,17,17,24
6,53,12,21,21,-47,17,20,27
0,57,11,21,18,-43,15,21,30
2,63,10,21,21,-41,12,22,31
-2,76,12,19,24,-41,16,21,37
-21,78,12,14,21,-37,21,19,38
-41,50,6,13,21,-31,22,9,46
-48,31,-2,26,22,-24,24,4,54
-53,7,-13,33,23,-19,30,1,58
-48,0,-15,39,20,-13,38,1,57
-49,1,-14,41,17,-15,39,3,51
-54,5,-10,46,17,-18,32,7,43
-50,11,-8,48,20,-21,23,13,33
-35,16,-2,46,20,-25,21,13,27
-27,16,0,43,17,-26,19,13,24
-31,14,5,42,17,-26,16,13,24
-34,46,6,43,20,-30,17,14,23
-6,52,9,42,21,-32,22,19,24
1,75,3,44,28,-44,23,24,25
2,72,8,41,34,-57,16,26,30
21,75,18,35,38,-63,15,30,35
-22,43,5,23,42,-67,24,39,37
-53,32,-6,22,44,-71,34,35,36
-40,48,-14,14,54,-76,42,35,43
-27,49,-13,8,52,-68,36,40,43
-27,51,-16,22,52,-52,33,37,42
-33,45,-17,35,49,-45,32,33,36
-37,45,-12,43,44,-41,31,31,34
-27,44,-5,48,34,-32,26,30,30
-10,46,1,50,36,-33,24,26,26
-7,42,4,54,37,-39,18,21,22
-6,44,8,44,33,-42,17,19,21
-2,46,12,32,19,-39,19,23,21
23,62,18,40,27,-36,18,24,21
9,57,16,42,26,-34,16,26,26
-16,51,4,37,20,-30,14,23,32
-23,55,3,36,17,-31,18,19,36
-19,76,8,31,15,-38,25,14,42
-32,67,7,27,13,-36,30,12,50
-48,46,3,17,12,-32,39,7,50
-62,12,-9,21,15,-31,34,-3,52
-55,-3,-17,24,15,-29,40,1,50
-33,-2,-15,27,14,-27,41,7,49
-34,10,-9,32,15,-29,33,12,41
-42,15,-1,37,20,-32,27,12,33
-36,10,3,41,23,-32,22,13,26
-31,14,5,48,25,-28,20,11,22
-30,21,3,53,27,-23,23,10,22
-32,32,11,56,28,-20,28,10,21
-17,61,16,61,37,-21,31,10,22
-1,59,3,60,36,-24,24,13,23
7,63,0,48,38,-32,15,17,27
-1,69,14,41,40,-37,15,32,32
-11,65,17,38,40,-55,23,39,35
-33,37,-5,33,42,-66,30,36,43
-32,37,-17,22,40,-70,38,37,48
