-55,12,-2,35,-62,0,-5,23,50
-53,5,3,32,-66,-7,-5,23,48
-45,5,3,28,-66,-8,-4,20,44
-35,17,5,23,-56,-8,-5,17,43
-30,23,7,22,-43,-6,-3,14,40
-33,30,3,21,-38,-4,-1,14,39
-33,28,0,18,-40,-6,-1,15,39
-39,28,7,19,-39,-11,0,14,41
-42,43,5,22,-38,-15,0,16,43
-39,35,8,15,-37,-24,3,18,42
-12,68,18,12,-33,-19,3,16,40
6,64,17,22,-14,-11,0,13,32
-8,33,2,34,-15,-4,0,14,32
-30,48,1,45,-15,15,1,14,37
-29,52,5,63,-3,25,-1,21,40
-10,53,5,58,-1,40,-1,28,46
-21,45,0,47,11,49,3,33,48
-41,38,0,43,28,55,0,33,49
-40,41,0,36,22,59,-3,35,49
-34,42,1,30,7,49,-3,33,46
-30,43,0,38,1,38,-3,26,42
-23,45,0,35,2,38,-3,21,38
-17,47,0,29,8,35,-2,19,34
-8,46,3,21,14,33,-2,19,32
-8,50,1,18,16,37,0,16,33
-10,45,3,31,14,33,0,18,30
-13,45,1,40,17,36,-5,22,30
-8,49,3,60,14,35,0,20,36
-11,52,6,67,-7,25,-6,26,40
-24,50,8,59,-29,42,0,21,40
-32,48,12,79,-20,30,-3,25,43
-29,53,13,71,-31,12,-5,25,46
-32,53,9,60,-48,12,-3,22,45
-36,42,3,57,-49,14,-4,21,48
-41,25,0,50,-51,-1,-5,25,50
-45,6,0,39,-58,-4,-4,21,47
-47,8,2,35,-62,-2,-8,21,44
-48,8,0,35,-60,-11,-8,23,46
-41,9,3,28,-60,-16,-5,18,46
-37,23,3,19,-52,-12,-3,13,42
-38,26,3,19,-48,-14,-4,15,40
-33,30,4,19,-37,-15,-3,15,40
-29,27,1,17,-29,-17,-2,12,40
-25,44,8,10,-24,-15,-3,11,41
-25,53,13,14,-15,-18,-1,10,42
-26,56,12,16,-14,-12,0,9,42
-16,46,13,23,-17,-8,-3,15,37
-4,49,13,34,-14,-7,-1,17,32
-15,38,2,39,-12,7,-1,12,29
-21,46,-1,48,-5,17,-3,19,36
-19,52,2,69,12,34,0,21,39
-18,57,6,71,26,57,-3,25,39
-31,44,2,60,34,63,-5,38,48
-44,39,0,35,29,71,-6,35,51
-44,39,0,32,23,76,-3,33,51
-28,46,0,43,23,67,-1,37,45
-29,45,0,44,13,57,-3,34,42
-23,46,0,28,11,51,-2,28,39
-17,47,0,23,20,46,-2,23,35
-10,46,-1,22,18,40,-3,21,30
-20,39,-2,31,21,29,-1,17,27
-16,41,-2,23,12,20,-3,20,28
-1,42,-1,37,7,17,-5,21,33
10,47,-2,48,5,14,0,15,33
1,55,4,48,-12,21,-4,16,28
-22,65,8,56,-47,28,-9,17,33
-28,76,11,69,-51,21,-2,28,53
-42,51,7,63,-46,16,0,26,50
-53,27,4,53,-69,20,0,23,47
-54,15,-3,56,-66,6,-12,25,50
-50,11,-5,48,-57,0,-12,26,53
-49,9,-1,37,-64,-1,-5,17,51
-48,6,3,35,-64,-5,-4,20,50
-44,9,5,30,-52,-10,-5,21,47
-39,16,5,23,-41,-10,-5,18,43
-36,23,8,24,-45,-12,-5,16,41
-41,23,5,19,-35,-14,-3,13,39
-41,29,5,16,-27,-9,-2,11,37
-31,43,8,13,-26,-7,-3,13,38
-22,37,9,14,-28,-12,0,14,40
-21,52,7,16,-19,-12,0,14,39
-28,48,10,21,-17,-12,1,16,36
-11,41,10,25,-17,-6,0,11,32
-3,51,7,33,-13,4,-2,7,32
-13,61,2,51,-16,18,-1,18,37
-17,47,5,64,-5,37,3,21,42
-29,43,3,64,1,55,-5,33,39
-30,42,-2,52,17,58,-3,31,50
